point_index,x,y
291,11.9917864476,0.9101495207
292,12.0328542094,0.9102172175
293,12.0739219713,0.9102172175
294,12.1149897331,0.9102172175
295,12.1560574949,0.9104804464
296,12.1971252567,0.9108606557
297,12.2381930185,0.9108606557
298,12.2792607803,0.9108606557
299,12.3203285421,0.9108606557
300,12.3613963039,0.9113076358
301,12.4024640657,0.9115040940
302,12.4435318275,0.9115040940
303,12.4845995893,0.9115040940
304,12.5256673511,0.9115559056
305,12.5667351129,0.9129480558
306,12.6078028747,0.9130860699
307,12.6488706366,0.9130860699
308,12.6899383984,0.9130860699
309,12.7310061602,0.9131069642
310,12.7720739220,0.9136070240
311,12.8131416838,0.9137295082
312,12.8542094456,0.9137295082
313,12.8952772074,0.9137295082
314,12.9363449692,0.9137295082
315,12.9774127310,0.9140677759
316,13.0184804928,0.9143729465
317,13.0595482546,0.9143729465
318,13.1006160164,0.9144152713
319,13.1416837782,0.9151639344
320,13.1827515400,0.9154521603
321,13.2238193018,0.9159549224
322,13.2648870637,0.9159549224
323,13.3059548255,0.9159549224
324,13.3470225873,0.9159549224
325,13.3880903491,0.9160323762
326,13.4291581109,0.9165983607
327,13.4702258727,0.9165983607
328,13.5112936345,0.9165983607
329,13.5523613963,0.9165983607
330,13.5934291581,0.9165983607
331,13.6344969199,0.9165983607
332,13.6755646817,0.9169228142
333,13.7166324435,0.9172417989
334,13.7577002053,0.9172417989
335,13.7987679671,0.9172841238
336,13.8398357290,0.9180327869
337,13.8809034908,0.9183589441
338,13.9219712526,0.9188237748
339,13.9630390144,0.9188237748
340,14.0041067762,0.9186779655
341,14.0451745380,0.9175693569
342,14.0862422998,0.9194672131
343,14.1273100616,0.9194672131
344,14.1683778234,0.9194672131
345,14.2094455852,0.9194672131
346,14.2505133470,0.9194672131
347,14.2915811088,0.9194672131
348,14.3326488706,0.9194672131
349,14.3737166324,0.9194672131
350,14.4147843943,0.9194672131
351,14.4558521561,0.9200587446
352,14.4969199179,0.9201106514
353,14.5379876797,0.9201744114
354,14.5790554415,0.9209016393
355,14.6201232033,0.9209016393
356,14.6611909651,0.9209987710
357,14.7022587269,0.9216449609
358,14.7433264887,0.9216926273
359,14.7843942505,0.9216926273
360,14.8254620123,0.9220207758
361,14.8665297741,0.9223360656
362,14.9075975359,0.9223360656
363,14.9486652977,0.9223360656
364,14.9897330595,0.9223360656
365,15.0308008214,0.9223360656
366,15.0718685832,0.9223360656
367,15.1129363450,0.9223360656
368,15.1540041068,0.9225572816
369,15.1950718686,0.9229795039
370,15.2361396304,0.9229795039
371,15.2772073922,0.9229795039
372,15.3182751540,0.9229795039
373,15.3593429158,0.9229795039
374,15.4004106776,0.9229795039
375,15.4414784394,0.9231142184
376,15.4825462012,0.9237704918
377,15.5236139630,0.9237704918
378,15.5646817248,0.9241770492
379,15.6057494867,0.9245614798
380,15.6468172485,0.9245614798
381,15.6878850103,0.9245614798
382,15.7289527721,0.9245875700
383,15.7700205339,0.9252049180
384,15.8110882957,0.9252049180
385,15.8521560575,0.9252049180
386,15.8932238193,0.9252049180
387,15.9342915811,0.9252049180
388,15.9753593429,0.9252049180
389,16.0164271047,0.9252049180
390,16.0574948665,0.9252049180
391,16.0985626283,0.9255202078
392,16.1396303901,0.9258483563
393,16.1806981520,0.9258483563
394,16.2217659138,0.9258483563
395,16.2628336756,0.9258483563
396,16.3039014374,0.9258483563
397,16.3449691992,0.9258483563
398,16.3860369610,0.9258588701
399,16.4271047228,0.9272735116
400,16.4681724846,0.9274303322
401,16.5092402464,0.9274303322
402,16.5503080082,0.9274303322
403,16.5913757700,0.9274303322
404,16.6324435318,0.9274303322
405,16.6735112936,0.9274303322
406,16.7145790554,0.9274303322
407,16.7556468172,0.9279680188
408,16.7967145791,0.9280737705
409,16.8377823409,0.9280737705
410,16.8788501027,0.9280737705
411,16.9199178645,0.9280737705
412,16.9609856263,0.9280737705
413,17.0020533881,0.9280737705
414,17.0431211499,0.9280737705
415,17.0841889117,0.9280737705
416,17.1252566735,0.9280737705
417,17.1663244353,0.9285844795
418,17.2073921971,0.9287172088
419,17.2484599589,0.9287172088
420,17.2895277207,0.9287172088
421,17.3305954825,0.9287172088
422,17.3716632444,0.9290653319
423,17.4127310062,0.9295081967
424,17.4537987680,0.9295081967
425,17.4948665298,0.9295081967
426,17.5359342916,0.9296053284
427,17.5770020534,0.9302886709
428,17.6180698152,0.9302991847
429,17.6591375770,0.9302991847
430,17.7002053388,0.9302991847
431,17.7412731006,0.9302991847
432,17.7823408624,0.9302991847
433,17.8234086242,0.9302991847
434,17.8644763860,0.9302991847
435,17.9055441478,0.9302991847
436,17.9466119097,0.9306860247
437,17.9876796715,0.9309426230
438,18.0287474333,0.9309426230
439,18.0698151951,0.9309426230
440,18.1108829569,0.9309426230
441,18.1519507187,0.9309426230
442,18.1930184805,0.9309426230
443,18.2340862423,0.9309426230
444,18.2751540041,0.9309426230
445,18.3162217659,0.9309426230
446,18.3572895277,0.9309426230
447,18.3983572895,0.9312716721
448,18.4394250513,0.9315860612
449,18.4804928131,0.9315860612
450,18.5215605749,0.9315860612
451,18.5626283368,0.9315860612
452,18.6036960986,0.9315860612
453,18.6447638604,0.9316823217
454,18.6858316222,0.9323770492
455,18.7268993840,0.9323770492
456,18.7679671458,0.9323770492
457,18.8090349076,0.9323770492
458,18.8501026694,0.9327836066
459,18.8911704312,0.9331680371
460,18.9322381930,0.9331680371
461,18.9733059548,0.9331680371
462,19.0143737166,0.9331680371
463,19.0554414784,0.9331680371
464,19.0965092402,0.9335990192
465,19.1375770021,0.9338114754
466,19.1786447639,0.9338114754
467,19.2197125257,0.9338114754
468,19.2607802875,0.9338114754
469,19.3018480493,0.9338114754
470,19.3429158111,0.9338114754
471,19.3839835729,0.9338114754
472,19.4250513347,0.9338114754
473,19.4661190965,0.9338114754
474,19.5071868583,0.9338114754
475,19.5482546201,0.9338114754
476,19.5893223819,0.9338114754
477,19.6303901437,0.9338114754
478,19.6714579055,0.9338114754
479,19.7125256674,0.9338114754
480,19.7535934292,0.9338114754
481,19.7946611910,0.9338114754
482,19.8357289528,0.9338114754
483,19.8767967146,0.9344030069
484,19.9178644764,0.9344549137
485,19.9589322382,0.9344549137
